,FA,SampleID,ug
252,C22.4n6c,BESFA.23.2.12,1.4
253,C22.4n6c,BESFA.23.2.13,0.7
254,C22.4n6c,BESFA.23.2.14,0.6
255,C22.4n6c,BESFA.23.2.15,0.4
256,C22.5n3c,BESFA.23.2.01,<LOD
257,C22.5n3c,BESFA.23.2.02,<LOD
258,C22.5n3c,BESFA.23.2.03,<LOD
259,C22.5n3c,BESFA.23.2.04,0.2
260,C22.5n3c,BESFA.23.2.05,0.3
261,C22.5n3c,BESFA.23.2.06,4.3
262,C22.5n3c,BESFA.23.2.07,0.5
263,C22.5n3c,BESFA.23.2.08,0.7
264,C22.5n3c,BESFA.23.2.09,2.3
265,C22.5n3c,BESFA.23.2.10,0.8
266,C22.5n3c,BESFA.23.2.11,0.9
267,C22.5n3c,BESFA.23.2.12,3.4
268,C22.5n3c,BESFA.23.2.13,1.1
269,C22.5n3c,BESFA.23.2.14,1.3
270,C22.5n3c,BESFA.23.2.15,1.2
271,C22.6n3c,BESFA.23.2.01,<LOD
272,C22.6n3c,BESFA.23.2.02,<LOD
273,C22.6n3c,BESFA.23.2.03,<LOD
274,C22.6n3c,BESFA.23.2.04,1.1
275,C22.6n3c,BESFA.23.2.05,0.6
276,C22.6n3c,BESFA.23.2.06,10.6
277,C22.6n3c,BESFA.23.2.07,2.3
278,C22.6n3c,BESFA.23.2.08,1.6
279,C22.6n3c,BESFA.23.2.09,5.3
280,C22.6n3c,BESFA.23.2.10,4.1
281,C22.6n3c,BESFA.23.2.11,2.1
282,C22.6n3c,BESFA.23.2.12,7.7
283,C22.6n3c,BESFA.23.2.13,5.7
284,C22.6n3c,BESFA.23.2.14,2.4
285,C22.6n3c,BESFA.23.2.15,2.8
286,TFA_ug,BESFA.23.2.01,12
287,TFA_ug,BESFA.23.2.02,11.6
288,TFA_ug,BESFA.23.2.03,11.2
289,TFA_ug,BESFA.23.2.04,14.6
290,TFA_ug,BESFA.23.2.05,3.3
291,TFA_ug,BESFA.23.2.06,123.3
292,TFA_ug,BESFA.23.2.07,25.1
293,TFA_ug,BESFA.23.2.08,19
294,TFA_ug,BESFA.23.2.09,57.4
295,TFA_ug,BESFA.23.2.10,34.4
296,TFA_ug,BESFA.23.2.11,11.5
297,TFA_ug,BESFA.23.2.12,86.5
298,TFA_ug,BESFA.23.2.13,44.2
299,TFA_ug,BESFA.23.2.14,30.5
300,TFA_ug,BESFA.23.2.15,32.1
301,C10.0,BESFA.23.2.16,0.2
302,C10.0,BESFA.23.2.17,<LOD
303,C10.0,BESFA.23.2.18,0.2
304,C10.0,BESFA.23.2.19,0.2
305,C10.0,BESFA.23.2.2,0.2
306,C10.0,BESFA.23.2.21,<LOD
307,C10.0,BESFA.23.2.22,0.2
308,C10.0,BESFA.23.2.23,0.2
309,C10.0,BESFA.23.2.24,<LOD
310,C10.0,BESFA.23.2.25,<LOD
311,C10.0,BESFA.23.2.26,0.2
312,C10.0,BESFA.23.2.27,0.3
313,C11.0,BESFA.23.2.16,<LOD
314,C11.0,BESFA.23.2.17,<LOD
315,C11.0,BESFA.23.2.18,0.1
316,C11.0,BESFA.23.2.19,0.2
317,C11.0,BESFA.23.2.2,<LOD
318,C11.0,BESFA.23.2.21,<LOD
319,C11.0,BESFA.23.2.22,0.1
320,C11.0,BESFA.23.2.23,0.1
321,C11.0,BESFA.23.2.24,<LOD
322,C11.0,BESFA.23.2.25,<LOD
323,C11.0,BESFA.23.2.26,0.1
324,C11.0,BESFA.23.2.27,0.2
325,C12.0,BESFA.23.2.16,0.2
326,C12.0,BESFA.23.2.17,0.2
327,C12.0,BESFA.23.2.18,0.5
328,C12.0,BESFA.23.2.19,17.5
329,C12.0,BESFA.23.2.2,0.2
330,C12.0,BESFA.23.2.21,0.2
331,C12.0,BESFA.23.2.22,0.2
332,C12.0,BESFA.23.2.23,0.9
333,C12.0,BESFA.23.2.24,0.2
334,C12.0,BESFA.23.2.25,<LOD
335,C12.0,BESFA.23.2.26,0.2
336,C12.0,BESFA.23.2.27,0.7
337,C12.1n7c,BESFA.23.2.16,<LOD
338,C12.1n7c,BESFA.23.2.17,<LOD
339,C12.1n7c,BESFA.23.2.18,0.1
340,C12.1n7c,BESFA.23.2.19,0.6
341,C12.1n7c,BESFA.23.2.2,<LOD
342,C12.1n7c,BESFA.23.2.21,0.1
343,C12.1n7c,BESFA.23.2.22,0.1
344,C12.1n7c,BESFA.23.2.23,0.6
345,C12.1n7c,BESFA.23.2.24,<LOD
346,C12.1n7c,BESFA.23.2.25,<LOD
347,C12.1n7c,BESFA.23.2.26,0.1
348,C12.1n7c,BESFA.23.2.27,0.5
349,C13.0,BESFA.23.2.16,0.1
350,C13.0,BESFA.23.2.17,<LOD
351,C13.0,BESFA.23.2.18,0.2
352,C13.0,BESFA.23.2.19,2.2
353,C13.0,BESFA.23.2.2,<LOD
354,C13.0,BESFA.23.2.21,<LOD
355,C13.0,BESFA.23.2.22,0.2
356,C13.0,BESFA.23.2.23,1.3
357,C13.0,BESFA.23.2.24,0.1
358,C13.0,BESFA.23.2.25,<LOD
359,C13.0,BESFA.23.2.26,0.2
360,C13.0,BESFA.23.2.27,0.6
361,C14.0,BESFA.23.2.16,0.2
362,C14.0,BESFA.23.2.17,0.2
363,C14.0,BESFA.23.2.18,41.6
364,C14.0,BESFA.23.2.19,732.5
365,C14.0,BESFA.23.2.2,0.3
366,C14.0,BESFA.23.2.21,0.2
367,C14.0,BESFA.23.2.22,3.9
368,C14.0,BESFA.23.2.23,125.2
369,C14.0,BESFA.23.2.24,0.2
370,C14.0,BESFA.23.2.25,0.2
371,C14.0,BESFA.23.2.26,5.5
372,C14.0,BESFA.23.2.27,109.7
373,C14.1n5c,BESFA.23.2.16,<LOD
374,C14.1n5c,BESFA.23.2.17,<LOD
375,C14.1n5c,BESFA.23.2.18,0.7
376,C14.1n5c,BESFA.23.2.19,32.8
377,C14.1n5c,BESFA.23.2.2,<LOD
378,C14.1n5c,BESFA.23.2.21,<LOD
379,C14.1n5c,BESFA.23.2.22,<LOD
380,C14.1n5c,BESFA.23.2.23,<LOD
381,C14.1n5c,BESFA.23.2.24,<LOD
382,C14.1n5c,BESFA.23.2.25,<LOD
383,C14.1n5c,BESFA.23.2.26,0.1
384,C14.1n5c,BESFA.23.2.27,0.5
385,C15.0,BESFA.23.2.16,0.2
386,C15.0,BESFA.23.2.17,0.2
387,C15.0,BESFA.23.2.18,3.2
388,C15.0,BESFA.23.2.19,146.3
389,C15.0,BESFA.23.2.2,0.2
390,C15.0,BESFA.23.2.21,0.2
391,C15.0,BESFA.23.2.22,1.2
392,C15.0,BESFA.23.2.23,42.8
393,C15.0,BESFA.23.2.24,0.2
394,C15.0,BESFA.23.2.25,0.1
395,C15.0,BESFA.23.2.26,1.6
396,C15.0,BESFA.23.2.27,44.6
397,C16.0,BESFA.23.2.16,1.8
398,C16.0,BESFA.23.2.17,1.3
399,C16.0,BESFA.23.2.18,193.8
400,C16.0,BESFA.23.2.19,2499.4
401,C16.0,BESFA.23.2.2,2
402,C16.0,BESFA.23.2.21,1.6
403,C16.0,BESFA.23.2.22,61.2
404,C16.0,BESFA.23.2.23,783.1
405,C16.0,BESFA.23.2.24,2.3
406,C16.0,BESFA.23.2.25,1.4
407,C16.0,BESFA.23.2.26,104.3
408,C16.0,BESFA.23.2.27,1067.1
409,C16.1n7c,BESFA.23.2.16,0.2
410,C16.1n7c,BESFA.23.2.17,0.2
411,C16.1n7c,BESFA.23.2.18,93.1
412,C16.1n7c,BESFA.23.2.19,1235.2
413,C16.1n7c,BESFA.23.2.2,0.3
414,C16.1n7c,BESFA.23.2.21,0.3
415,C16.1n7c,BESFA.23.2.22,17.7
416,C16.1n7c,BESFA.23.2.23,241.1
417,C16.1n7c,BESFA.23.2.24,0.3
418,C16.1n7c,BESFA.23.2.25,0.2
419,C16.1n7c,BESFA.23.2.26,30.2
420,C16.1n7c,BESFA.23.2.27,296.3
421,C16.2n4,BESFA.23.2.16,<LOD
422,C16.2n4,BESFA.23.2.17,<LOD
423,C16.2n4,BESFA.23.2.18,<LOD
424,C16.2n4,BESFA.23.2.19,31.3
425,C16.2n4,BESFA.23.2.2,<LOD
426,C16.2n4,BESFA.23.2.21,<LOD
427,C16.2n4,BESFA.23.2.22,<LOD
428,C16.2n4,BESFA.23.2.23,<LOD
429,C16.2n4,BESFA.23.2.24,<LOD
430,C16.2n4,BESFA.23.2.25,<LOD
431,C16.2n4,BESFA.23.2.26,<LOD
432,C16.2n4,BESFA.23.2.27,<LOD
433,C17.0,BESFA.23.2.16,0.2
434,C17.0,BESFA.23.2.17,0.2
435,C17.0,BESFA.23.2.18,7
436,C17.0,BESFA.23.2.19,285.4
437,C17.0,BESFA.23.2.2,0.3
438,C17.0,BESFA.23.2.21,0.3
439,C17.0,BESFA.23.2.22,9.6
440,C17.0,BESFA.23.2.23,207.4
441,C17.0,BESFA.23.2.24,0.3
442,C17.0,BESFA.23.2.25,0.3
443,C17.0,BESFA.23.2.26,8.4
444,C17.0,BESFA.23.2.27,187.1
445,C17.1n7c,BESFA.23.2.16,<LOD
446,C17.1n7c,BESFA.23.2.17,<LOD
447,C17.1n7c,BESFA.23.2.18,1.1
